"RIL" "Trait1" "Trait2" "Trait3" "Trait4"
"118" "R140" 24.4725 13.5 78.225 23.645
"119" "R141" 22.8125 13 78.7 22.845
"120" "R142" 28.3175 10.575 104.3 25.2575
"121" "R143" 30.28 10.55 122.825 23.6375
"122" "R144" 21.8025 10.225 102.4 21.89
"123" "R145" 18.0625 13.725 63.725 20.6175
"124" "R146" 24.5775 7.1 134.65 26.1875
"125" "R147" 30.175 10.925 92.9 29.635
"126" "R148" 29.4925 10.575 97.175 28.6625
"127" "R149" 21.0625 10.425 83.1 24.9275
"128" "R150" 20.98 9.85 93.525 22.6375
"129" "R151" 23.36 10.575 107.975 20.6725
"130" "R152" 26.4925 10.075 110.075 24.1025
"131" "R153" 26.315 11.55 97.15 24.2325
"132" "R154" 20.1275 10.75 88.3 21.9025
"133" "R155" 29.0575 14.55 99.8 20.045
"134" "R156" 27.5525 12.575 86.275 25.645
"135" "R157" 26.0725 12.6 89.175 23.8975
"136" "R158" 23.1475 10.35 89.35 24.7925
"137" "R159" 24.635 9.6 105.475 24.505
"138" "R160" 29.695 10.025 99.05 29.505
"139" "R161" 24.7425 10.35 89.925 26.455
"140" "R163" 28.0125 11.975 83.65 28.0775
"141" "R164" 29.4475 12.2 90 26.9525
"142" "R166" 25.7 9.075 115.6 24.6675
"143" "R167" 17.385 10.475 68.625 24.7875
"144" "R168" 30.4075 11.125 112.125 24.5125
"145" "R169" 33.0675 10.8 118.475 25.4875
"146" "R170" 26.6325 10.4 91.025 28.4625
"147" "R171" 25.7775 9.3 118.875 23.545
"148" "R172" 25.1325 11.325 111.175 20.1275
"149" "R173" 25.8525 10.6 110.375 22.4575
"150" "R174" 24.2825 11 101.225 22.2425
"151" "R175" 22.805 9.075 88.95 28.5875
"152" "R176" 22.66 11.725 77.15 24.9925
"153" "R177" 24.55 10.075 84.85 29.0675
"154" "R178" 27.8825 12.625 105.2 21.2075
"155" "R179" 27.485 11 93.5 27.0075
"156" "R180" 31.265 9.2 119.425 28.015
"157" "R181" 24.7475 11.2 87.775 25.485
"158" "R182" 22.635 12.05 75.925 25.47
"159" "R183" 25.4925 10.775 81.35 29.3125
"160" "R184" 26.44387805 9.72097561 104.9969512 26.17237805
"161" "R185" 25.135 9.75 110.575 23.0425
"162" "R186" 30.1225 10.45 115.65 25.28
"163" "R187" 29.07 9.55 111.725 27.24
"164" "R188" 27.1625 9.8 103.425 26.96
"165" "R189" 26.88 12.425 81.925 27.075
"166" "R190" 25.925 12.875 80.75 25.825
"167" "R191" 29.5525 10.65 138.275 20.4075
"168" "R193" 29.225 14.375 88.15 23.835
"169" "R194" 31.1625 11.1 118.5 23.205
"170" "R195" 29.8525 10.275 130.325 22.7075
"171" "R196" 25.3525 8.2 122.525 25.7775
"172" "R197" 23.775 11.25 90.725 23.425
"173" "R198" 27.44 11.35 106.925 22.5675
"174" "R199" 24.0325 10.975 84.175 26.77
"175" "R200" 18.8625 9.525 83.1 23.6925
"176" "R202" 22.245 9.725 109.975 21.3175
"177" "R203" 24.8525 11.1 84.8 26.575
"178" "R204" 17.975 12.55 67.875 21.1625
"179" "R205" 27.175 12 80.65 28.3525
"180" "R206" 27.5825 10.275 111.975 24.6325
"181" "R208" 29.83 9 113.95 29.43
"182" "R209" 30.525 10.4 139.2 21.4725
"183" "R210" 29.545 10.7 104.7 26.6125
"184" "R211" 24.22887805 10.64597561 97.34695122 24.09237805
"185" "R213" 18.9425 8.9 83.2 25.02
"186" "R214" 26.6975 10.475 118.75 21.66
"187" "R216" 24.2775 9.4 97.825 26.5175
"188" "R218" 29.765 10.85 127.6 22.0925
"189" "R219" 16.675 10.6 66.125 24.1075
"190" "R220" 32.5475 11.575 126.6 22.29
"191" "R221" 20.545 10.525 77.9 25.37
"192" "R222" 25.2925 8.65 100.675 29.09
"193" "R223" 28.195 10.1 103.8 26.5325
"194" "R224" 23.77 10.675 108.725 21.1425
"195" "R225" 31.0525 10.325 111.625 27.355
"196" "R226" 20.9975 11.625 74.55 24.9625
"197" "R227" 26.715 10.675 111.825 23.1775
"198" "R228" 25.545 9.775 121.25 22.1275
"199" "R229" 29.0325 9.95 120.1 24.485
"200" "R230" 28.21 12.85 101.575 21.6075
"201" "R231" 15.40637805 8.12097561 64.74695122 21.96737805
"202" "R232" 26.71 10.6 112.725 22.4125
"203" "R233" 29.305 11.525 105.95 24.0475
"204" "R234" 25.59 10.85 104.7 23.5825
"205" "R235" 29.7575 10.825 122.2 22.6475
"206" "R236" 22.5125 11.225 91.125 22.325
"207" "R237" 19.7425 12.975 71.5 21.4125
"208" "R238" 28.1975 8.525 121.525 27.1525
"209" "R239" 30.7625 10.275 112.975 26.6425
"210" "R241" 27.57558612 11.6076555 94.84342105 26.26185407
